,ID,Call Number,GLOTREC|Cat Link,Catalogue,Library Catalogue,Year,Publisher,Place,Title,Authors,Pages,Format,School Subject,Level of Education,Document Type,Country of Use
0,1026966108,"RA G-26(2,2016)1",gei1026966108,GEI,PPN=1026966108,2013,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Geografía de la Argentina María Julia Echeverría, Silvia María Capuz","['Echeverria, Maria', 'Capuz, Silvia']","276 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
1,1026966620,"RA G-26(2,2016)4",gei1026966620,GEI,PPN=1026966620,2013,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Geografía del mundo actual María Julia Echeverría, Silvia María Capuz","['Echeverria, Maria', 'Capuz, Silvia']","300 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
2,1026966876,"RA G-26(2,2014)5",gei1026966876,GEI,PPN=1026966876,2013,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Geografía social y económico de la Argentina María Julia Echeverría, Silvia María Capuz","['Echeverria, Maria', 'Capuz, Silvia']","272 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
3,102697254X,"RA G-27(13,2016)1",gei102697254X,GEI,PPN=102697254X,2008,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Geografía - América y Antártida Horacio N. Lorenzini, Raúl Rey Balmaceda, María J. Echeverría","['Lorenzini, Horacio', 'Balmaceda, Raul', 'Echeverria, Maria']","222 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
4,1026973066,"RA G-27(11,2016)2",gei1026973066,GEI,PPN=1026973066,2006,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Geografía - Europa y Oceanía Horacio N. Lorenzini, Raúl Rey Balmaceda, María J. Echeverría","['Lorenzini, Horacio', 'Balmaceda, Raul', 'Echeverria, Maria']","258 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
5,1026973368,"RA G-27(11,2016)3",gei1026973368,GEI,PPN=1026973368,2005,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Geografía general con aplicación en Asia, África y Argentina Horacio N. Lorenzini, Raúl Rey Balmaceda, María J. Echeverría","['Lorenzini, Horacio', 'Balmaceda, Raul', 'Echeverria, Maria']","247 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
6,1026974380,"RA G-28(1,98)8",gei1026974380,GEI,PPN=1026974380,1998,A-Z Editora,Buenos Aires,"Ciencias sociales - geografía EGB 3er ciclo 8, [Schülerband] América en el mundo Nilda Louro, María Julia Loray","['Louro, Nilda', 'Loray, Maria']","155 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
7,1026974453,"RA G-28(1,98)9",gei1026974453,GEI,PPN=1026974453,1998,A-Z Editora,Buenos Aires,"Ciencias sociales - geografía EGB 3er ciclo 9, [Schülerband] Argentina en el mundo Nilda Louro, María Julia Loray","['Louro, Nilda', 'Loray, Maria']","117 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
8,1026974755,"RA H-57(2,98)8,1",gei1026974755,GEI,PPN=1026974755,1998,A-Z Editora,Buenos Aires,"Ciencias sociales - historia EGB 3er ciclo 8, [Schülerband] Ema Cibotti","['Cibotti, Ema']","181 Seiten Illustrationen, Diagramme, Karten",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
9,1026974909,"RA H-57(1,98)8,2",gei1026974909,GEI,PPN=1026974909,1998,A-Z Editora,Buenos Aires,"Ciencias sociales - historia EGB 3er ciclo 8, [Schülerband] La modernidad en América y la Argentina Ema Cibotti","['Cibotti, Ema']","158 Seiten Illustrationen, Diagramme, Karten",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
